epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6939,1.66278,3.47787,1.20385,0.04005,0.14917,0.07229,0.04936,1.64919,3.69247,1.09734,0.000170838,0.000170838,0.000170838
2,59.3695,1.57105,1.72986,1.16689,0.90531,0.06165,0.14663,0.09084,1.58381,2.57163,1.09373,0.000339317,0.000339317,0.000339317
3,89.9284,1.48311,1.41601,1.13555,0.72732,0.12261,0.17002,0.10557,1.53556,1.9063,1.09516,0.000500853,0.000500853,0.000500853
4,119.848,1.46442,1.32171,1.12207,0.64806,0.13272,0.16986,0.10245,1.56126,1.86103,1.10916,0.000494756,0.000494756,0.000494756
5,150.1,1.42585,1.2511,1.10699,0.7341,0.16069,0.19326,0.11705,1.50055,1.52488,1.0763,0.000484341,0.000484341,0.000484341
6,181.165,1.41037,1.20368,1.09897,0.66906,0.17451,0.19926,0.12115,1.45517,1.27697,1.07762,0.000473926,0.000473926,0.000473926
7,212.426,1.38842,1.16477,1.08916,0.61745,0.17878,0.20614,0.12542,1.44161,1.24147,1.072,0.000463511,0.000463511,0.000463511
8,244.911,1.37898,1.13025,1.08887,0.68614,0.18941,0.21109,0.12808,1.43569,1.19973,1.05581,0.000453096,0.000453096,0.000453096
9,274.753,1.37357,1.11143,1.086,0.61096,0.18618,0.21364,0.13136,1.42176,1.19542,1.06045,0.000442682,0.000442682,0.000442682
10,305.619,1.36295,1.09334,1.0797,0.67608,0.18959,0.21692,0.13064,1.42266,1.16915,1.06076,0.000432267,0.000432267,0.000432267
11,335.537,1.3465,1.06437,1.07502,0.55916,0.18831,0.20986,0.12727,1.45117,1.2661,1.07055,0.000421852,0.000421852,0.000421852
12,365.933,1.34551,1.05443,1.07497,0.54697,0.20232,0.22266,0.13472,1.41426,1.16299,1.04788,0.000411437,0.000411437,0.000411437
13,393.489,1.34398,1.03501,1.07149,0.5986,0.20443,0.22763,0.13713,1.4004,1.11049,1.04516,0.000401022,0.000401022,0.000401022
