epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,424.248,1.32707,1.02221,1.06582,0.57366,0.21374,0.23161,0.14015,1.39038,1.09926,1.0529,0.000390608,0.000390608,0.000390608
15,454.93,1.31786,1.00469,1.06546,0.59571,0.21209,0.23294,0.14178,1.38389,1.0797,1.04012,0.000380193,0.000380193,0.000380193
16,485.563,1.31653,0.99955,1.06007,0.58878,0.21054,0.23363,0.14194,1.38322,1.07439,1.04558,0.000369778,0.000369778,0.000369778
17,516.481,1.31207,0.99505,1.06173,0.48908,0.2127,0.2298,0.13965,1.38372,1.10197,1.04286,0.000359363,0.000359363,0.000359363
18,547.536,1.29875,0.97454,1.05566,0.59796,0.20391,0.23006,0.1389,1.39829,1.09485,1.04027,0.000348948,0.000348948,0.000348948
19,578.309,1.30171,0.96909,1.05625,0.55038,0.21247,0.23507,0.14188,1.38388,1.07916,1.04732,0.000338534,0.000338534,0.000338534
20,609.529,1.28576,0.95202,1.05092,0.51916,0.21061,0.23534,0.14225,1.39671,1.06975,1.05229,0.000328119,0.000328119,0.000328119
21,640.379,1.28525,0.94991,1.05146,0.48996,0.21564,0.24298,0.14857,1.3594,1.02946,1.03397,0.000317704,0.000317704,0.000317704
22,671.031,1.28372,0.9431,1.04974,0.5718,0.21124,0.23631,0.14525,1.37005,1.06364,1.0417,0.000307289,0.000307289,0.000307289
23,701.385,1.27942,0.9365,1.04786,0.58856,0.21468,0.24073,0.14656,1.35889,1.03712,1.03316,0.000296874,0.000296874,0.000296874
24,731.797,1.28348,0.93461,1.04617,0.52221,0.21587,0.239,0.14514,1.36029,1.06018,1.03974,0.00028646,0.00028646,0.00028646
25,762.382,1.26397,0.91665,1.04463,0.51513,0.2195,0.24426,0.14881,1.35343,1.02717,1.03095,0.000276045,0.000276045,0.000276045
26,792.732,1.26179,0.91386,1.04223,0.49931,0.21611,0.24437,0.15062,1.34733,1.01955,1.02547,0.00026563,0.00026563,0.00026563
27,822.816,1.25143,0.89383,1.03948,0.51757,0.22462,0.24932,0.15283,1.34696,0.99903,1.02706,0.000255215,0.000255215,0.000255215
28,853.632,1.25753,0.89782,1.03551,0.52606,0.22254,0.24917,0.15199,1.35667,1.011,1.03019,0.0002448,0.0002448,0.0002448
29,883.618,1.24617,0.89394,1.03574,0.47826,0.22045,0.25252,0.15413,1.34365,0.99098,1.02573,0.000234386,0.000234386,0.000234386
30,913.944,1.25178,0.89229,1.03522,0.48225,0.21709,0.24447,0.15071,1.34839,1.0107,1.03193,0.000223971,0.000223971,0.000223971
31,944.3,1.25657,0.89214,1.03679,0.50444,0.22799,0.25208,0.15427,1.34159,0.98955,1.02444,0.000213556,0.000213556,0.000213556
32,974.615,1.24069,0.87503,1.03066,0.50465,0.22256,0.2497,0.15376,1.33488,0.98811,1.02432,0.000203141,0.000203141,0.000203141
33,1008.95,1.22871,0.86968,1.02866,0.60948,0.22381,0.25177,0.15365,1.33523,0.9781,1.02388,0.000192726,0.000192726,0.000192726
34,1045.62,1.23492,0.86593,1.02661,0.53193,0.22843,0.25325,0.15509,1.34099,0.98258,1.02378,0.000182312,0.000182312,0.000182312
35,1082.55,1.24629,0.8715,1.03101,0.57625,0.2264,0.25115,0.1538,1.32991,0.97407,1.0258,0.000171897,0.000171897,0.000171897
36,1115.48,1.22864,0.86027,1.02602,0.51198,0.22596,0.25099,0.1529,1.34525,0.98339,1.02532,0.000161482,0.000161482,0.000161482
37,1146.09,1.22848,0.85757,1.02781,0.60503,0.22223,0.25372,0.1552,1.32494,0.97463,1.0227,0.000151067,0.000151067,0.000151067
38,1176.54,1.21489,0.84119,1.02174,0.5075,0.23131,0.2558,0.15682,1.32422,0.96153,1.02001,0.000140652,0.000140652,0.000140652
39,1207.09,1.21499,0.8466,1.02206,0.51139,0.22767,0.25468,0.15558,1.32792,0.96841,1.0197,0.000130238,0.000130238,0.000130238
40,1237.61,1.21384,0.84573,1.02209,0.53222,0.22599,0.25334,0.15569,1.32487,0.96415,1.02039,0.000119823,0.000119823,0.000119823
41,1270.45,1.25925,0.8813,1.02649,0.50737,0.22405,0.24693,0.15057,1.34502,0.98845,1.02316,0.000109408,0.000109408,0.000109408
42,1300.69,1.2332,0.83699,1.01568,0.55497,0.22412,0.25361,0.15554,1.33429,0.96676,1.02219,9.89932e-05,9.89932e-05,9.89932e-05
43,1330.95,1.22575,0.82659,1.00958,0.50855,0.22486,0.25262,0.15442,1.32773,0.96186,1.01951,8.85784e-05,8.85784e-05,8.85784e-05
44,1361.68,1.22106,0.82277,1.01162,0.59695,0.22683,0.255,0.15641,1.32338,0.95632,1.02102,7.81636e-05,7.81636e-05,7.81636e-05
45,1391.13,1.21127,0.81477,1.0098,0.60858,0.22389,0.2545,0.15674,1.31888,0.95779,1.01828,6.77488e-05,6.77488e-05,6.77488e-05
46,1420.33,1.21111,0.81054,1.00699,0.61339,0.22192,0.25445,0.15665,1.32457,0.95676,1.02025,5.7334e-05,5.7334e-05,5.7334e-05
47,1450.71,1.20178,0.80463,1.00457,0.58947,0.22749,0.25519,0.1573,1.31923,0.94953,1.01721,4.69192e-05,4.69192e-05,4.69192e-05
48,1480.56,1.20068,0.80127,1.00418,0.61557,0.22403,0.25529,0.15706,1.32002,0.95012,1.01838,3.65044e-05,3.65044e-05,3.65044e-05
49,1511.34,1.20302,0.801,1.00461,0.53751,0.22861,0.25559,0.15682,1.31962,0.95065,1.01564,2.60896e-05,2.60896e-05,2.60896e-05
50,1543.65,1.19389,0.79393,1.00335,0.53604,0.22939,0.25649,0.15745,1.31768,0.94887,1.01585,1.56748e-05,1.56748e-05,1.56748e-05
