epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4775,1.6168,2.38236,1.18541,0.7433,0.15029,0.1645,0.10168,1.50868,1.45707,1.07734,0.000174768,0.000174768,0.000174768
2,108.789,1.50075,1.45815,1.15085,0.64581,0.17112,0.18668,0.11454,1.46228,1.30796,1.0767,0.000343169,0.000343169,0.000343169
3,162.576,1.47692,1.34687,1.14175,0.60609,0.17886,0.19559,0.11768,1.48692,1.29243,1.08713,0.000504627,0.000504627,0.000504627
